title,author,info_type,post_agency,nation,article_date,link_url,domain,subject,text
S. Korea Expands the Scope of Its ODA Project to Benefit 50 or More Countries and Develops 10 or More Partnership Models,,T0,韩国农业部门,韩国,2025-03-11,https://www.mafra.go.kr/bbs/english/25/573521/artclView.do,F0,AG0,
"Korean Agricultural Inputs and Machinery Find Opportunities to Enter Vietnam, Thailand, and China through ﻿International Trade Fairs",,T0,韩国农业部门,韩国,2025-03-11,https://www.mafra.go.kr/bbs/english/25/573520/artclView.do,F0,AG0,
The First Meeting of the APEC 2025 Policy Partnership on Food Security Discussed Cooperation for Food Security ,,T0,韩国农业部门,韩国,2025-03-06,https://www.mafra.go.kr/bbs/english/25/573475/artclView.do,F0,AG0,
The Current Status of the Progress in the Implementation of the Strategic Plan for Responding to Declining Rural Areas and the Future Plan,,T0,韩国农业部门,韩国,2025-02-28,https://www.mafra.go.kr/bbs/english/25/573423/artclView.do,F0,AG0,
S. Korea’s First Master Plan for Promotion of the Growth of the Smart-Farming Industry for the Years 2025–2029,,T0,韩国农业部门,韩国,2025-02-27,https://www.mafra.go.kr/bbs/english/25/573412/artclView.do,F0,AG0,
"S. Korea Donates a Record 150,000 Tonnes of Rice to 17 Countries in Africa, Asia, the Middle East, and Latin America and the Caribbean",,T0,韩国农业部门,韩国,2025-02-19,https://www.mafra.go.kr/bbs/english/25/573334/artclView.do,F0,AG0,
"Unoccupied and Derelict Houses Are Reborn into Spaces for Living, Business, and Culture",,T0,韩国农业部门,韩国,2025-02-19,https://www.mafra.go.kr/bbs/english/25/573325/artclView.do,F0,AG0,
"The 2025 Work Plan for the Ministry of Agriculture, Food and Rural Affairs",,T0,韩国农业部门,韩国,2025-02-14,https://www.mafra.go.kr/bbs/english/25/573301/artclView.do,F0,AG0,
S. Korea Continues to Expand the Project for Demolition and Improvement of Rural Spaces,,T0,韩国农业部门,韩国,2025-02-05,https://www.mafra.go.kr/bbs/english/25/573186/artclView.do,F0,AG0,
S. Korea Adds Impetus to the Export of Smart Farms to the Middle East  ,,T0,韩国农业部门,韩国,2025-01-21,https://www.mafra.go.kr/bbs/english/25/573038/artclView.do,F0,AG0,
Research,,T0,法国巴斯德研究所,法国,2025-03-05,https://www.pasteur.fr/en/research-journal/news/when-bacterial-dna-invades-cells-does-it-have-code-adapt-its-new-environment,F0,AG0,"A team from the Institut Pasteur used a combination of molecular biology, genomics and artificial chromosomes, aided by..."
Research,,T0,法国巴斯德研究所,法国,2025-03-05,https://www.pasteur.fr/en/research-journal/news/how-immune-system-regulates-breast-milk-production,F0,AG0,The maternal immune system regulates lactation by differentiating the mammary glands during pregnancy. A specific...
Research,,T0,法国巴斯德研究所,法国,2025-02-25,https://www.pasteur.fr/en/research-journal/news/nanotubes-proof-their-existence-vivo-zebrafish,F0,AG0,"Nanotubes have been observed for the first time in a living organism.(1) This discovery, made by an Institut Pasteur..."
Department,,T0,法国巴斯德研究所,法国,2025-02-10,https://www.pasteur.fr/en/research-journal/news/women-scientists-inspiring-faces-research-institut-pasteur,F0,AG0,The International Day of Women and Girls in Science 2025 is an opportunity to shine the spotlight on committed and...
Listeria virulence: the key role of gene expression,,T0,法国巴斯德研究所,法国,2025-01-17,https://www.pasteur.fr/en/home/research-journal/news/listeria-virulence-key-role-gene-expression,F0,AG0,"The bacterium Listeria monocytogenes can be pathogenic to humans and cause listeriosis, a potentially fatal infection...."
Paratyphoid B fever: tracing the history of the disease to improve surveillance,,T0,法国巴斯德研究所,法国,2024-12-19,https://www.pasteur.fr/en/research-journal/news/paratyphoid-b-fever-tracing-history-disease-improve-surveillance,F0,AG0,"Paratyphoid B fever is caused by pathogenic bacteria of the species Salmonella enterica, serotype Paratyphi B. In..."
Does vaccination reduce the virulence of the bacteria responsible for whooping cough?,,T0,法国巴斯德研究所,法国,2024-12-17,https://www.pasteur.fr/en/research-journal/news/does-vaccination-reduce-virulence-bacteria-responsible-whooping-cough,F0,AG0,"Following an analysis of bacterial samples from infants with whooping cough, scientists from the National Reference..."
Microbiota tailored skin humoral immunity and its potential for the development of novel vaccinal approaches,,T0,法国巴斯德研究所,法国,2024-12-16,https://www.pasteur.fr/en/home/research-journal/news/microbiota-tailored-skin-humoral-immunity-and-its-potential-development-novel-vaccinal-approaches,F0,AG0,"Scientists have just made two major discoveries about a harmless bacterium, Staphylococcus epidermidis, present on our..."
"Lessons learned from the COVID-19 crisis: improving protection through early response, rapid tracking and impact monitoring",,T0,法国巴斯德研究所,法国,2024-12-09,https://www.pasteur.fr/en/home/research-journal/news/lessons-learned-covid-19-crisis-improving-protection-through-early-response-rapid-tracking-and,F0,AG0,Scientific experts from 13 Western European countries have recently completed a review of key lessons learned from the...
The essential role of the gene Nr5a2 in embryogenesis,,T0,法国巴斯德研究所,法国,2024-12-03,https://www.pasteur.fr/en/research-journal/news/essential-role-gene-nr5a2-embryogenesis,F0,AG0,Scientists have elucidated the role of the gene Nr5a2 in the first stages of embryonic development in mammals. This...
"Anesthesia: resuscitating patients within minutes, regardless of the NMBA used",,T0,法国巴斯德研究所,法国,2024-11-29,https://www.pasteur.fr/en/research-journal/news/anesthesia-resuscitating-patients-within-minutes-regardless-nmba-used,F0,AG0,"The neuromuscular blockade reversal agents, capable of reversing the effect of neuromuscular blocking agents (NMBAs) at..."
"Waste: at the Institut Pasteur, nothing is lost, everything is transformed",,T0,法国巴斯德研究所,法国,2024-11-21,https://www.pasteur.fr/en/home/research-journal/news/waste-institut-pasteur-nothing-lost-everything-transformed,F0,AG0,This year's European Week for Waste Reduction runs from November 16 to 24. This is an opportunity to highlight the...
Innovation,,T0,法国巴斯德研究所,法国,2024-11-04,https://www.pasteur.fr/en/research-journal/news/novel-method-producing-dna-based-therapies,F0,AG0,Scientists have combined enzyme and chemical techniques to develop an innovative method for producing synthetic DNA...
"Talent Award: Claire Sangba-Kembi-Ngounou, 2024 winner",,T0,法国巴斯德研究所,法国,2024-10-23,https://www.pasteur.fr/en/institut-pasteur/institut-pasteur-throughout-world/news-international/talent-award-claire-sangba-kembi-ngounou-2024-winner,F0,AG0,"Dr. Claire Sangba-Kembi-Ngounou, entomologist at the Institut Pasteur in Bangui (Central African Republic), receives..."
Innovation,,T0,法国巴斯德研究所,法国,2024-10-08,https://www.pasteur.fr/en/innovation/news/news-innovation/can-lymphoid-organs-chip-be-used-evaluate-effectiveness-booster-vaccines,F0,AG0,"Researchers at the Institut Pasteur, a Carnot-labeled institute, have developed an innovative technology: ""lymphoid..."
Epidemiological news,,T0,法国巴斯德研究所,法国,2024-09-18,https://www.pasteur.fr/en/research-journal/news/whooping-cough-how-do-we-explain-its-resurgence-2024-france,F0,AG0,"In a study coordinated by the Institut Pasteur, scientists describe the dynamics of the whooping cough epidemic in 2024..."
institutional,,T0,法国巴斯德研究所,法国,2024-09-05,https://www.pasteur.fr/en/research-journal/news/european-heritage-days-institut-pasteur-opens-its-doors,F0,AG0,"The Institut Pasteur is taking part in European Heritage Days 2024, with two afternoons of tours on Saturday September..."
Research,,T0,法国巴斯德研究所,法国,2024-09-05,https://www.pasteur.fr/en/research-journal/news/pneumococci-can-have-lasting-impact-cells,F0,AG0,"A recent study has demonstrated that pneumococci bring about a lasting change in a protein related to DNA, influencing..."
"Paris 2024: ready, set, go for the Institut Pasteur's volunteers involved in the Games!",,T0,法国巴斯德研究所,法国,2024-07-30,https://www.pasteur.fr/en/research-journal/news/paris-2024-ready-set-go-institut-pasteur-s-volunteers-involved-games,F0,AG0,"Throughout this special Paris Games, we are pleased to present some of the Institut Pasteur staff who are playing a..."
Xavier Carré: volunteer with the Red Cross at Paris Games 2024,,T0,法国巴斯德研究所,法国,2024-07-25,https://www.pasteur.fr/en/home/research-journal/portraits/xavier-carre-volunteer-red-cross-paris-games-2024,F0,AG0,"Throughout this special Paris Games, we are pleased to present some of the Institut Pasteur staff who are playing a..."
"
                    European countries agree to strengthen position in semiconductor industry",,T0,荷兰经济事务和气候政策部,荷兰,2025-03-12,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2025/03/12/european-countries-agree-to-strengthen-position-in-semiconductor-industry,F0,AG0,"At the initiative of minister Beljaarts of Economic Affairs of The Netherlands, 9 countries have established the Semicon ..."
"
                    Take stock and take action on better digital regulation for SMEs in the EU",,T0,荷兰经济事务和气候政策部,荷兰,2024-12-06,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/12/06/take-stock-and-take-action-on-better-digital-regulation-for-smes-in-the-eu,F0,AG0,The new EU digital rulebook touches all dimensions of the digital economy. It aims to significantly improve competition and ...
"
                    EU Member States propose approach to eliminate territorial supply constraints",,T0,荷兰经济事务和气候政策部,荷兰,2024-05-23,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/05/23/eu-member-states-propose-approach-to-eliminate-territorial-supply-constraints,F0,AG0,"At the initiative of Minister Micky Adriaansens (Economic Affairs and Climate), the Netherlands and seven other EU Member States ..."
"
                    Charting the Course: 2nd High-Level Roundtable of the International Hydrogen Trade Forum and the Hydrogen  Council hosted by Minister Jetten in The Netherlands",,T0,荷兰经济事务和气候政策部,荷兰,2024-05-13,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/05/13/charting-the-course-2nd-high-level-roundtable-of-the-international-hydrogen-trade-forum-and-the-hydrogen-council-hosted-by-minister-jetten-in-the-netherlands,F0,AG0,"Today, in Rotterdam, The Netherlands, the second Ministerial-Executive Roundtable was hosted by the International Hydrogen Trade ..."
"
                    The Netherlands, France, the Czech Republic and Ireland call for a European policy package on sustainable carbon in the chemical industry",,T0,荷兰经济事务和气候政策部,荷兰,2024-04-16,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/04/16/the-netherlands-france-the-czech-republic-and-ireland-call-for-a-european-policy-package-on-sustainable-carbon-in-the-chemical-industry,F0,AG0,"In order to make the transition from fossil to sustainable raw materials in the chemical industry, policy is needed at EU-level. ..."
"
                    Five northern European countries conclude international arrangements on transport and storage of carbon across borders",,T0,荷兰经济事务和气候政策部,荷兰,2024-04-15,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/04/15/five-northern-european-countries-conclude-international-arrange-ments-on-transport-and-storage-of-carbon-across-borders,F0,AG0,"A European infrastructure for carbon capture and storage is underway. Today, arrangements between Denmark, Norway, Belgium, the ..."
"
                    The Netherlands to invest €2.5 billion to strengthen business climate for chip industry in Brainport Eindhoven",,T0,荷兰经济事务和气候政策部,荷兰,2024-03-28,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2024/03/28/the-netherlands-to-invest-%E2%82%AC2.5-billion-to-strengthen-business-climate-for-chip-industry-in-brainport-eindhoven,F0,AG0,"Found in objects from telephones to solar panels and medical equipment, microchips play a crucial role in everyday life. Dutch ..."
"
                    Offshore wind: The Netherlands well on schedule, tender round to double capacity will start early 2024",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-20,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/19/offshore-wind-the-netherlands-well-on-schedule-tender-round-to-double-capacity-will-start-early-2024,F0,AG0,"Today, the CrossWind consortium completed construction of the Hollandse Kust (noord) wind farm. The Netherlands has now reached a ..."
"
                    Group of European countries aim to decarbonize their electricity system by 2035",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-18,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/18/group-of-european-countries-aim-to-decarbonize-their-electricity-system-by-2035,F0,AG0,"Today, Austria, Belgium, France, Germany, Luxemburg, The Netherlands and Switzerland announce a joint ambition to decarbonize ..."
"
                    COP28: Netherlands, Germany, France, Spain, Finland, the federal government of Belgium and Austria propose framework to prevent greenwashing and restore integrity in voluntary carbon markets",,T0,荷兰经济事务和气候政策部,荷兰,2023-12-10,https://www.government.nl/ministries/ministry-of-economic-affairs/news/2023/12/10/cop28-netherlands-germany-france-spain-finland-belgium-and-austria-propose-framework-to-prevent-greenwashing-and-restore-integrity-in-voluntary-carbon-markets,F0,AG0,Effective and trustworthy voluntary carbon markets can play a role in supporting faster and more ambitious climate action. They ...
"
        The TSARA initiative: collaborative research promoting sustainable food systems in Africa and Europe continues to expand
      ",,T0,法国农业食品环境研究院,法国,2025-03-06,https://www.inrae.fr/en/news/tsara-initiative-collaborative-research-promoting-sustainable-food-systems-africa-and-europe-continues-expand,F0,AG0,"PRESS RELEASE - In a context of climate crises, water scarcity and food insecurity, TSARA seeks to transform food systems in Africa and the Mediterranean, combining local innovation and international exchange of knowledge. The strategic reinforcement and development of the initiative were ratified by the 3rd General Assembly—held on 26 February to coincide with the Paris International Agricultural Show—attended by the 32 TSARA member institutions. To mark the occasion, and with Morocco as this year's guest of honour, ENA Meknès (Morocco) and CIRAD (France) have taken over the co-presidency of TSARA from INRAE and ISRA (Senegal)."
"
        Major breakthrough in biology: a hybrid generative AI  designs new molecules
      ",,T0,法国农业食品环境研究院,法国,2025-03-03,https://www.inrae.fr/en/news/major-breakthrough-biology-hybrid-generative-ai-designs-new-molecules,F0,AG0,"PRESS RELEASE - Predicting the structure of proteins, creating new ones. Protein design is a rapidly evolving field of research owing to the possibilities offered by AI, with the possibility of designing new proteins and enzymes with direct applications in health and the environment. Researchers in mathematics at INRAE have developed an AI combining learning and reasoning. This hybrid AI is thus capable of designing proteins according to rules learned through deep learning, but also derived from physics or made explicit by designers. Results that contribute to the range of protein design methods, presented in Nature Reviews Methods Primers."
"
        Harmonizing Environmental Labelling in Europe: An Ambition for Sustainable Food
      ",,T0,法国农业食品环境研究院,法国,2025-01-23,https://www.inrae.fr/en/news/harmonizing-environmental-labelling-europe-ambition-sustainable-food,F0,AG0,"How can we harmonize environmental assessment methodologies for food products at the European level and design clear and effective labelling to guide consumer choices? This is the ambition of the ECO FOOD CHOICE project (2023-2028), led by The French Environment and Energy Management Agency – ADEME, and involving 9 partners from France, Germany, the Netherlands, and Spain. Drawing on national and regional databases, this project is developing new methodologies to inventory and aggregate the environmental impacts of food products, aiming to achieve a harmonized environmental score. These efforts will be validated through experiments involving 56,300 consumers in a variety of settings, including supermarkets, canteens, and laboratories, to lay the groundwork for a European environmental labelling system."
"
        Major breakthrough for managing avian influenza epidemics: a digital tool to optimise contact tracing in infected farms
      ",,T0,法国农业食品环境研究院,法国,2025-01-08,https://www.inrae.fr/en/news/major-breakthrough-managing-avian-influenza-epidemics-digital-tool-optimise-contact-tracing-infected-farms,F0,AG0,PRESS RELEASE – Researchers from INRAE’s Host-Pathogen Interactions Unit (INRAE/ENVT) in Toulouse and Wageningen Bioveterinary Research in the Netherlands have developed a new tool to optimise contact tracing in infected poultry farms. Their results were published in the Journal of the Royal Society Interface on 8 January 2025.
"
        An artificial mouth to understand the oral processing of soft foods
      ",,T0,法国农业食品环境研究院,法国,2024-10-15,https://www.inrae.fr/en/news/artificial-mouth-understand-oral-processing-soft-foods,F0,AG0,PRESS RELEASE - Researchers at INRAE have developed an artificial mouth to reproduce and better understand the processing of soft foods. The device is based on anatomical data collected at the Fujita Health University and features a silicone tongue that contracts using compressed air to mimic the movements of the human tongue. The results were published on October 15 in the journal Scientific Reports.
"
        Ferments du Futur, a unique European public-private partnership for R&D on the food of the future
      ",,T0,法国农业食品环境研究院,法国,2024-10-10,https://www.inrae.fr/en/news/ferments-du-futur-unique-european-public-private-partnership-rd-food-future,F0,AG0,"PRESS KIT - Two years after its official launch in December 2022, Ferments du Futur has opened an innovation centre at the heart of the Paris-Saclay science and innovation cluster. "
"
        INRAE and Lallemand Animal Nutrition launch LabCom ""Biofilm1Health""
      ",,T0,法国农业食品环境研究院,法国,2024-10-03,https://www.inrae.fr/en/news/inrae-and-lallemand-animal-nutrition-launch-labcom-biofilm1health,F0,AG0,"The INRAE Micalis Institute and Lallemand Animal Nutrition (LAN) are pleased to announce the creation of the LabCom “Biofilm1Health,” a collaborative laboratory focused on unlocking the potential of biofilm properties in beneficial microbes. This cutting-edge partnership between the B3D team from the Micalis Institute (UMR 1319 INRAE, AgroParisTech, Université Paris-Saclay) and LAN, with support from the French National Research Agency (ANR), aims to advance the One Health concept, a holistic approach that integrates human, animal, and environmental health."
"
        Unravelling the mystery of dormancy in food pathogens for more effective elimination
      ",,T0,法国农业食品环境研究院,法国,2024-10-02,https://www.inrae.fr/en/news/unravelling-mystery-dormancy-food-pathogens-more-effective-elimination,F0,AG0,"PRESS RELEASE - Listeria monocytogenes, a bacterium that causes listeriosis, a serious disease, can go into dormancy when confronted with environmental stress, for example in the presence of detergents or in water devoid of nutrients. It then becomes undetectable by the tests commonly used in the food industry and hospitals, thus representing a major health risk. Scientists at INRAE, in collaboration with the Institut Pasteur, have discovered the mechanisms behind this dormancy and have developed a specific detection method. These results, published in Nature Communications, shed new light on bacterial dormancy and open up prospects for better management of health risks."
"
        Reducing food waste by improving how institutional catering surpluses are distributed
      ",,T0,法国农业食品环境研究院,法国,2024-09-24,https://www.inrae.fr/en/news/reducing-food-waste-improving-how-institutional-catering-surpluses-are-distributed,F0,AG0,"One third of the food produced in the world is lost or wasted from farm to fork, which creates major environmental impacts and economic losses to the tune of USD 940 billion a year. The United Nations Sustainable Development Goal 12.3 aims to reduce food losses and waste, with a specific goal of cutting them by half at the retail and consumer levels by 2030. European and international initiatives are striving to identify and tackle food loss and waste “hot spots”, monitor changes over time and evaluate public policies. To support such efforts, a study has explored the dynamics in France of a “new link” to connect institutional catering and food aid organizations to redistribute food surpluses."
"
        Foods with low Nutri-Scores associated with an increased risk of cardiovascular diseases
      ",,T0,法国农业食品环境研究院,法国,2024-09-11,https://www.inrae.fr/en/news/foods-low-nutri-scores-associated-increased-risk-cardiovascular-diseases,F0,AG0,"PRESS RELEASE - Cardiovascular diseases are the leading cause of mortality in Western Europe, accounting for 1/3 of deaths in 2019. Diet is thought to be responsible for around 30% of such deaths. Nutrition-related prevention policies therefore constitute a major public health challenge for these diseases. "
S. Korea Expands the Scope of Its ODA Project to Benefit 50 or More Countries and Develops 10 or More Partnership Models,,T0,韩国农业部门,韩国,2025-03-11,https://www.mafra.go.kr/bbs/english/25/573521/artclView.do,F0,AG0,
"Korean Agricultural Inputs and Machinery Find Opportunities to Enter Vietnam, Thailand, and China through ﻿International Trade Fairs",,T0,韩国农业部门,韩国,2025-03-11,https://www.mafra.go.kr/bbs/english/25/573520/artclView.do,F0,AG0,
The First Meeting of the APEC 2025 Policy Partnership on Food Security Discussed Cooperation for Food Security ,,T0,韩国农业部门,韩国,2025-03-06,https://www.mafra.go.kr/bbs/english/25/573475/artclView.do,F0,AG0,
The Current Status of the Progress in the Implementation of the Strategic Plan for Responding to Declining Rural Areas and the Future Plan,,T0,韩国农业部门,韩国,2025-02-28,https://www.mafra.go.kr/bbs/english/25/573423/artclView.do,F0,AG0,
S. Korea’s First Master Plan for Promotion of the Growth of the Smart-Farming Industry for the Years 2025–2029,,T0,韩国农业部门,韩国,2025-02-27,https://www.mafra.go.kr/bbs/english/25/573412/artclView.do,F0,AG0,
"S. Korea Donates a Record 150,000 Tonnes of Rice to 17 Countries in Africa, Asia, the Middle East, and Latin America and the Caribbean",,T0,韩国农业部门,韩国,2025-02-19,https://www.mafra.go.kr/bbs/english/25/573334/artclView.do,F0,AG0,
"Unoccupied and Derelict Houses Are Reborn into Spaces for Living, Business, and Culture",,T0,韩国农业部门,韩国,2025-02-19,https://www.mafra.go.kr/bbs/english/25/573325/artclView.do,F0,AG0,
"The 2025 Work Plan for the Ministry of Agriculture, Food and Rural Affairs",,T0,韩国农业部门,韩国,2025-02-14,https://www.mafra.go.kr/bbs/english/25/573301/artclView.do,F0,AG0,
S. Korea Continues to Expand the Project for Demolition and Improvement of Rural Spaces,,T0,韩国农业部门,韩国,2025-02-05,https://www.mafra.go.kr/bbs/english/25/573186/artclView.do,F0,AG0,
S. Korea Adds Impetus to the Export of Smart Farms to the Middle East  ,,T0,韩国农业部门,韩国,2025-01-21,https://www.mafra.go.kr/bbs/english/25/573038/artclView.do,F0,AG0,
Supporting healthy aquaculture in Lake Victoria,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/14/supporting-healthy-aquaculture-in-lake-victoria.html,F0,AG0,An international team of multidisciplinary experts has come together to sustainably support the booming fish farming ind...
Meet the workplace vibers powered by AI,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/13/meet-the-workplace-vibers-powered-by-ai.html,F0,AG0,"Vibers can perform understanding without achieving it, using AI to simulate expertise across domains they haven’t master..."
Entwined dwarf stars reveal their location due to unusual radio signals,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/13/entwined-dwarf-stars-reveals-their-location-thanks-to-repeated-radio-bursts.html,F0,AG0,Researchers now know it isn’t just neutron stars that emit such pulses.
35 disciplines in the global top 50 in QS Subject Rankings,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/13/35-disciplines-in-the-global-top-50-in-qs-subject-rankings.html,F0,AG0,First in Australia in nine disciplines. Five subjects in top 20 and 52 in top 100.
"Raising the Bar 2025: one night, 20 free talks at venues across Sydney",,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/10/raising-the-bar-2025.html,F0,AG0,Keen to inject some knowledge into your night out? Pull up a chair at a local pub and let experts quench your thirst for...
Palawan State of the Marine Environment Report: hidden challenges in paradise,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/07/palawan-philippines-marine-environment-report-2024.html,F0,AG0,"A University of Sydney team led the report, which addresses threats to Palawan marine life and community."
Chau Chak Wing Museum returns human remains to Papua New Guinea,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/03/04/chau-chak-wing-museum-returns-human-remains-to-papua-new-guinea.html,F0,AG0,Historic return comes 150 years after crania were taken from Madang province.
World-first experimental cancer treatment paves way for clinical trial,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/02/28/world-first-experimental-cancer-treatment-paves-way-for-clinical.html,F0,AG0,Experimental treatment for glioblastoma published in Nature Medicine
Mitch Gibbs receives Academy of Science award for Aboriginal and Torres Strait Islander scientists ,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/02/26/mitch-gibbs-receives-academy-of-science-award-for-aboriginal-and-torres-strait-islanders.html,F0,AG0,Blending Traditional Knowledge and Western science to care for Country.
Professor Robert Park recognised as national 'problem solver' by Universities Australia,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/02/26/robert-park-shaping-australia-awards-2024-universities-australia.html,F0,AG0,Cereal fungus research saves farmers billions of dollars a year worldwide.
University of Sydney researchers awarded over $45 million in NHMRC Investigator Grants,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/02/26/sydney-researchers-awarded-over-45-million-in-nhmrc-investigator.html,F0,AG0,Twenty-four high-performing researchers have been granted a total of $45.6 million in 2025 NHMRC Investigator Grants fun...
Should YouTube be exempt from the social media ban?,,T0,悉尼大学,澳大利亚,2025-03-14,https://www.sydney.edu.au/content/corporate/news-opinion/news/2025/02/19/should-youtube-be-exempt-from-social-media-ban.html,F0,AG0,"YouTube hosts a lot of garbage, but experts argue the government is right to let kids keep watching it."
